"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
323,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,646,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108069387943,5842108069394004,5842108069491765,5842108069492265,97761
324,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,648,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108069506853,5842108069513685,5842108069611926,5842108069612407,98241
325,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,650,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108069627115,5842108069636086,5842108069715767,5842108069716398,79681
326,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,652,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108069730185,5842108069736407,5842108069833688,5842108069834025,97281
327,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,654,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108069848253,5842108069855288,5842108069936409,5842108069936944,81121
328,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,656,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108069950350,5842108069956569,5842108070055450,5842108070055884,98881
329,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,658,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108070070643,5842108070079290,5842108070177851,5842108070178301,98561
330,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,660,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108070191957,5842108070198171,5842108070296572,5842108070297090,98401
331,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,662,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108070310727,5842108070316732,5842108070415293,5842108070415770,98561
332,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,664,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108070431059,5842108070439293,5842108070538334,5842108070538837,99041
333,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,666,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108070552364,5842108070559294,5842108070638975,5842108070639452,79681
